IDENTITE_OPERATEUR;CODE_OPERATEUR;SIRET_ACTEUR;RCS_ACTEUR;ADRESSE_COMPLETE_ACTEUR;BESOIN_RES_NUM;DATE_DECLARATION_OPERATEUR
IBC dialog;IBCD;7,898E+13;Caen; 4 RUE DE BRUXELLES  14120 MONDEVILLE   ;0;09/12/2015 00:00
Ibloo;ILOO;8,51711E+13;Tours; 66 RUE DES DOUETS  37100 TOURS   ;0;03/09/2019 00:00
Ibloo pro;IBLO;8,32963E+13;Tours; 66 RUE DES DOUETS  37100 TOURS   ;0;24/11/2017 00:00
IBO;IBOO;4,53866E+13;CLERMONT FERRAND; 35 RUE JULES VERNE BP 21 63014 CLERMONT- FERRAND   ;0;27/05/2014 00:00
IBROWSE;IBRO;4,93712E+13;Paris; 17 RUE CLER  75007 PARIS   ;0;10/05/2007 00:00
ICEA (INFORMATIQUE-CONSEIL-EQUIPEMENT-ASSISTANCE);ICEA;3,53107E+13;Arras; 54 AVENUE ROGER SALENGRO BP 136 62053 ST LAURENT BLANGY  CEDEX ;0;25/01/2008 00:00
Iceseven;ICES;8,39833E+13;Toulon; 101 ALLEE DE LA CAYON  83190 OLLIOULES   ;0;13/06/2018 00:00
ICODIA;ICOD;4,32479E+13;Rennes; 22 RUE DE L ERBONIERE  35510 CESSON-SEVIGNE   ;0;23/09/2010 00:00
Icomera AB;ICAB; ;556572-2864 Göteborg;TORSGATAN 5B   41 104 GOTEBORG   SUEDE;0;19/07/2016 00:00
Icomera France;ICFR;8,12959E+13;Paris; 59 RUE DES PETITS CHAMPS  75001 PARIS   ;0;24/10/2016 00:00
I-Con SA;ICNN; ;Luxembourg; 21 RUE DE BROUCH  L-7481 TUNTANGE   LUXEMBOURG;0;11/09/2017 00:00
Icone;ICNE;3,98519E+13;Salon-de-Provence;ZA L ANJOLY 92 BOULEVARD DE L EUROPE  13127 VITROLLES   ;0;04/03/2019 00:00
IConnect;ICNT;893907071;Paris; 12 RUE GREUZE  75116 PARIS   ;0;18/02/2021 00:00
ICS;ICS0;5,33681E+13;MARSEILLE; 19/21 BOULEVARD TELLENE  13007 MARSEILLE   ;0;02/09/2016 00:00
Icuk computing services LTD;ICUK; ;04319375 Registered in England and Wales;38 HIGH STREET 5 METROPOLITAN HOUSE  CR01YN CROYDON   ROYAUME-UNI;0;27/02/2017 00:00
Id 3000;ID30;4,32494E+13;NICE; 34 RUE AUGUSTE GAL  06300 NICE   ;0;09/07/2021 00:00
ID concept;IDCO;3,10712E+13;Melun; 21 AVENUE D ESBLY  77150 LESIGNY   ;0;26/06/2017 00:00
Id tels;idte;8,21792E+13;Nice;LES CIGALES - BATIMENT C 35 BOULEVARD PASTEUR  06000 NICE   ;0;16/09/2019 00:00
Id2son;ID2S;8,18504E+13;Lyon;IMMEUBLE LE 380 30 RUE MARGUERITE  69100 VILLEURBANNE   ;0;16/12/2019 00:00
Idalie;IDAL;8,23471E+13;Bourg-en-Bresse; 4 RUE GENERAL MESSIMY  01800 CHARNOZ-SUR-AIN   ;0;16/11/2016 00:00
Idatacom;ITAM;8,0524E+13;Boulogne-sur-Mer;RESIDENCE SHAKESPEARE 23 RUE DES ANGLAIS  62152 NEUFCHATEL-HARDELOT   ;0;02/03/2018 00:00
Idea;IAED;8,37799E+13;Ajaccio; 1 RUE CAPITAINE LIVRELLI  20000 AJACCIO   ;0;03/03/2020 00:00
Ideal solutions;IDNS;8,37699E+13;Chalon-sur-Saône; 12 RUE ALFRED KASTLER  71530 FRAGNES-LA-LOYERE   ;0;27/02/2018 00:00
Idelio;3620;4,49346E+13;Nantes; 25 AVENUE DE LA VERTONNE  44120 VERTOU   ;1;29/12/2004 00:00
IDENOVIA;IDEN;5,304E+13;STRASBOURG; 48A ALLEE DE LA ROBERTSAU  67000 STRASBOURG   ;0;16/10/2012 00:00
IDF telecom;IDFT;8,19864E+13;Caen; 50 AVENUE DE LA PLAGE  14150 OUISTREHAM   ;0;17/06/2016 00:00
Idi informatique;IDIE;8,0188E+13;Poitiers; 31 BIS RUE GAMBETTA  86190 VOUILLE   ;0;29/11/2019 00:00
Idinfo;IDIN;8,48181E+13;Besançon;ZA LES BANARDES 2 RUE DU PRELOT  25800 VALDAHON   ;0;14/01/2020 00:00
Idline;INPC;4,11679E+13;Poitiers;TELEPORT 4 ANTARES  BP 90150 86961 FUTUROSCOPE  CEDEX ;1;25/01/2007 00:00
IDNCOM;IDNC;8,90073E+13;Basse-Terre;CHEZ SBH DOM   MARIGOT CARREFOUR DES 4 CHEMINS  97133 SAINT BARTHELEMY   ;0;20/02/2021 00:00
Idom technologies;IDOM;4,42771E+13;Saint Denis;TECHNOPOLE REUNION - STE CLOTILDE 7 RUE HENRI CORNU  97490 SAINT-DENIS   ;1;23/06/2006 00:00
IDS-indata B.V.;IDSI; ;860710671; 26 DATABANKWEG  3821 AL AMERSFOORT   PAYS-BAS;0;05/10/2020 00:00
IDSO;IDSO;8,03273E+13;Bayonne;OLETAKO BIDEA RESIDENCE ALZIRUNALDE   64310 ASCAIN   ;0;05/01/2015 00:00
Id-sys informatique;IDSY;4,43414E+13;Annecy;ANNECY-LE-VIEUX 10 AVENUE DU PRE DE CHALLES  74940 ANNECY   ;0;03/12/2018 00:00
IDT RETAIL EUROPE LTD;IDTR; ;7888960 ENGLAND;IDT HOUSE 44 FEATHERSTONE STREET  EC1Y 8RN LONDON   ROYAUME-UNI;0;20/03/2012 00:00
Ielo-liazo services;LIAZ;5,17542E+13;Paris; 50 TER RUE DE MALTE  75011 PARIS   ;0;14/08/2012 00:00
IF technologies;IFTE;4,25026E+13;Dax;ZAC ATLANTISUD ALLEE DESTANQUE  40230 SAINT-GEOURS-DE-MARENNE   ;0;11/06/2019 00:00
Ifalou;IFAL;4,9005E+13;Alençon; 9 RUE DE L EGLISE - LONGNY AU PERCHE  61290 LONGNY LES VILLAGES   ;0;31/08/2021 00:00
IFW SAS;ALTI;4,0009E+13;Paris; 8 RUE DE LA VILLE L'EVÊQUE  75008 PARIS   ;0;04/08/2000 00:00
Igwan.net;IGWA; ;W751212717 ASSO St-Barthélémy; GRAND CUL-DE-SAC BP 1302 97020 SAINT-BARTHELEMY  CEDEX ;0;09/02/2012 00:00
Ikacom ;IKAC;8,24524E+13;Paris; 6 RUE DE MUSSET  75016 PARIS   ;1;16/03/2017 00:00
Ikepowa;IKEP;7,90876E+13;Strasbourg; 51B RUE DU MARAIS  67800 BISCHHEIM   ;0;06/10/2020 00:00
Iko;IKOI;5,23577E+13;Lyon; 58 CHEMIN DE LA BRUYERE  69570 DARDILLY   ;0;16/02/2018 00:00
IKOULA NET;IKOU;4,17681E+13;Nanterre; 175 RUE D AGUESSEAU  92100 BOULOGNE BILLANCOURT   ;0;12/09/2007 00:00
IL CONNECT;ILCO;8,39355E+13;Mulhouse; 40 RUE JEAN MONNET  68200 MULHOUSE   ;0;13/04/2021 00:00
ILC sarl;ILCS;7,53426E+13;COLMAR; 7 RUE LOUIS JOSEPH GAY LUSSAC BP 60204 68004 COLMAR  CEDEX ;0;09/04/2021 00:00
ILIAD;ILIA;3,42376E+13;Paris; 16 RUE DE LA VILLE L'EVÊQUE  75008 PARIS   ;0;01/12/2008 00:00
Ilico-  Internet Libre en Corrèze;ILIC;5,25019E+13;Tulle;MAIRIE LE BOURG  19330 CHANTEIX   ;0;30/09/2010 00:00
ILLICO RESEAU;ILLI;5,0026E+13;Angers; RUE MICKAEL FARADAY  49070 BEAUCOUZE   ;0;23/09/2008 00:00
Illyse;ILLY;5,39453E+13;SIRENE Rhône; 20 COURS DE LA RÉPUBLIQUE  69100 VILLEURBANNE   ;0;10/02/2012 00:00
Imajing;IMAJ;5,08795E+13;Toulouse; 10 AVENUE DE L EUROPE  31520 RAMONVILLE ST AGNE   ;0;13/04/2015 00:00
Imoptel;IMOP;5,13882E+13;Créteil; 32/34 RUE ROBERT WITCHITZ  94200 IVRY SUR SEINE   ;0;27/05/2014 00:00
Imp-360;I360;4,17705E+13;Pontoise;ZAC DU MOULIN 2 RUE DU NOYER - BAT A1 CS 17328 95705 ROISSY EN FRANCE  CEDEX 1 ;0;16/07/2021 00:00
Impro solutions;IMSO;4,48285E+13;Nantes; 43 RUE BOBBY SANDS  44800 SAINT-HERBLAIN   ;0;20/04/2018 00:00
Improveus;IMPR;5,30198E+13;Nanterre; 176 AVENUE CHARLES DE GAULLE  92522 NEUILLY-SUR-SEINE  CEDEX ;0;18/05/2017 00:00
IMS dynamics;IMSD;8,04808E+13;Paris; 14 AVENUE DE L OPERA  75001 PARIS   ;1;05/11/2014 00:00
IMS Networks;IMSN;8,14031E+13;Castres; 9 AVENUE DE LA MONTAGNE NOIRE  81100 CASTRES   ;0;05/01/2016 00:00
IMS partners;IMSP;4,88411E+13;Mulhouse; 6 RUE DANIEL SCHOEN  68200 MULHOUSE   ;0;07/02/2017 00:00
In vactis;INVA;5,2251E+13;Melun; 5 ALLEE DU LAC  77310 SAINT FARGEAU PONTHIERRY   ;0;17/02/2016 00:00
Incitat environnement;INCI;5,21681E+13;Bayonne;LE FORUM - CENTRE BELLOCQ 14 RUE RAOUL PERPERE  64100 BAYONNE   ;0;10/04/2017 00:00
Include Ltd.;NCLD; ;Split (Croatie), MBS 060313332; 30 KNEZA TRPIMIRA  21210 SOLIN   CROATIE;0;17/11/2018 00:00
Inconcert France;INRT;8,29292E+13;Paris; 14 RUE DU PONT NEUF  75001 PARIS   ;0;31/05/2018 00:00
inContact;INCT; ;7640368; 10 JOHN STREET  WC1N 2EB LONDON   ROYAUME-UNI;0;18/06/2013 00:00
In'Energies;INEN;5,08751E+13;Tours; 26 RUE ARTHUR RIMBAUD CS 57445 37074 TOURS  CEDEX 2 ;0;25/01/2016 00:00
Ineo Défense;INED;3,2346E+13; ;INOVEL PARC SUD 23 RUE GENERAL VALERIE ANDRE CS 80526 78457 VELIZY VILLACOUBLAY   ;0;26/07/2016 00:00
Ineo digital;ICID;4,42744E+13;Nanterre; 15 IMPASSE DUMUR  92110 CLICHY   ;0;03/02/2011 00:00
Ineo infracom;INOM;4,09868E+13;Dijon; 72 AVENUE RAYMOND POINCARE BP 56614 21066 DIJON  CEDEX ;0;01/04/2014 00:00
INEONET;INEO;4,51153E+13;Foix; PARC T DELTA SUD  09340 VERNIOLLE   ;0;19/01/2011 00:00
iNetworks;INET;813575479;Nantes;BATIMENT H 7 RUE ROLAND GARROS  44700 ORVAULT   ;0;17/09/2015 00:00
InfHor;NFHR;4,84455E+13;Lille Métropole; 3 RUE DE BAPAUME  59200 TOURCOING   ;0;02/06/2020 00:00
Infinite connection;ITIO; ;W953006423 Préfecture du Val d'Oise; 6 AVENUE DU PONCEAU  95000 CERGY   ;0;20/03/2016 00:00
Infinity telecom;ITPH;7,93655E+13;PARIS;C/O MGT-JYN 32 BOULEVARD DE VAUGIRARD  75015 PARIS   ;1;21/06/2013 00:00
Infinivox;INOX;848786869;Lille Métropole; 23 RUE GUILLAUME WERNIERS  59800 LILLE   ;1;23/11/2020 00:00
Infiny link;INIK;4,84711E+13;Versailles; 3 RUE DU PETIT ROBINSON  78350 JOUY-EN-JOSAS   ;0;21/11/2017 00:00
Info partner;INPA;5,38115E+13;CRETEIL; 31 COURS DES JUILLIOTTES  94700 MAISONS-ALFORT   ;0;30/12/2014 00:00
INFO100T;TINF;7,89727E+13;ORLEANS; 4 ROUTE DE BLOIS  45380 LA CHAPELLE SAINT MESMIN   ;0;16/01/2021 00:00
Infocom;INFO;4,84361E+13;Bordeaux; 11 AVENUE DU PRINTEMPS  33510 ANDERNOS-LES-BAINS   ;0;05/07/2013 00:00
Infoconfig;INIG;5,10714E+13;Marseille; 248 AVENUE DE SAINT ANTOINE  13015 MARSEILLE   ;0;21/06/2017 00:00
Infoline;INNE;5,33348E+13;Paris; 33 AVENUE DU MARECHAL FAYOLLE  43200 YSSINGEAUX   ;1;12/11/2014 00:00
INFOMIL;INFL;3,94451E+13;Toulouse; 15 RUE PAUL MESPLE  31100 TOULOUSE   ;0;10/12/2007 00:00
Infomotiv;INIV;5,20159E+13;Nice;BATIMENT PREMIUM 1 BOULEVARD MAURICE SLAMA  06200 NICE   ;0;09/01/2015 00:00
INFONET BROADBAND SERVICES CORPORATION;INFN; ;AZ 85034; HERIKERBERGWEG 2  1101CM AMSTERDAM   PAYS-BAS;0;27/03/2003 00:00
Informadis;INIS;4,81342E+13;EVRY; 6 RUE DE L'ACADIE  91940 LES ULIS   ;0;14/04/2016 00:00
Informapik;IPIK;4,93837E+13;Reims; 73 RUE DE CERNAY  51100 REIMS   ;0;28/08/2019 00:00
INFORMATIQUE 40;IN40;4,78737E+13;Mont de Marsan; 710 AVENUE DU MARECHAL FOCH  40000 MONT DE MARSAN   ;0;07/04/2021 00:00
Informatique assistances.fr;IAFR;5,13569E+13;Bobigny; 25 AVENUE MARCEL DASSAULT  93370 MONTFERMEIL   ;0;14/09/2017 00:00
Informatique de sécurité;INSE;3,39179E+13;Châlon-sur-Saône; 2 AVENUE DES PUITS BP 70022 71300 MONTCEAU-LES-MINES  CEDEX ;0;07/01/2014 00:00
Informatique du parc;INDP;4,91186E+13;Villefranche-Tarare; 372 RUE DE THIZY  69400 VILLEFRANCHE-SUR-SAONE   ;0;10/02/2020 00:00
Informatique et services internet;ISIN;5,12258E+13;Bordeaux;BAT LE FRANCE 9 RUE MONTGOLFIER  33700 MERIGNAC   ;0;20/12/2017 00:00
Informatique maintenance services;INMS;3,89746E+13;Limoges;PARC D'ESTER - IMMEUBLE CASSIOPEE 26 RUE ATLANTIS  87069 LIMOGES   ;0;26/10/2017 00:00
INFORMATIQUE MARKETING SYSTEMS;IMKS;3,44155E+13;Le Mans; 40 RUE SAINT ANDRE  72000 LE MANS   ;0;29/08/2007 00:00
Informatique réseau communication France ;IRCF;4,97609E+13;Antibes; 9 BOULEVARD GENERAL VAUTRIN  06600 ANTIBES   ;0;04/08/2017 00:00
Infosea;IFEA;3,88336E+13;Nanterre; 97 BOULEVARD VOLTAIRE  92600 ASNIERES SUR SEINE   ;0;25/09/2017 00:00
Infotelecom;INLE;4,52146E+13;Perpignan; 6 RUE CHARLES FABRY  66000 PERPIGNAN   ;0;21/11/2017 00:00
Infra nfc;INFC;9,01206E+13;BELFORT; 1 RUE DU DOCTEUR FRERY CS 50199 90000 BELFORT  90004 BELFORT CEDEX ;0;05/08/2021 00:00
Infracity;NFRC;8,32706E+13;Lyon; 4 AVENUE PAUL KRUGER  69100 VILLEURBANNE   ;0;25/03/2021 00:00
Infradev;INEV;8,18159E+13;La Roche-sur-Yon ; 2 RUE DE LA FONTAINE  85710 CHATEAUNEUF   ;0;07/08/2018 00:00
Infradigital;INFD;8,11615E+13;Bordeaux; 36 RUE RACINE  33200 BORDEAUX   ;0;25/03/2021 00:00
Infrastructure technology & telecom management;ITTM;811124585;Marseille; 99 BOULEVARD SYLVESTRE  13012 MARSEILLE   ;0;12/02/2020 00:00
Ingénierie de projet informatique industrielle;IP2I;4,97987E+13;Tours; 12 RUE DORA MAAR  37100 TOURS   ;0;16/04/2012 00:00
INGENIERIE DES RESEAUX INFORMATIQUES ET TELECOMS;IRIT;4,0441E+13;Créteil; 30 RUE DE LA VARENNE  94100 ST MAUR DES FOSSES   ;0;24/08/2009 00:00
Ingenierie informatique protection;INIP;5,12513E+13;Montpellier; 7 RUE DE LA ROQUE  34160 SAINT-HILAIRE-DE-BEAUVOIR   ;0;27/04/2015 00:00
Ingenierie informatique systeme et reseau;2ISR;5,03832E+13;ANGERS; 16 BOULEVARD DU GENERAL FAIDHERBE  49300 CHOLET   ;0;08/09/2011 00:00
INGENIERIE SERVICES ET APPLICATIONS;ISEA;3,91395E+13;Dunkerque; 377 RUE DU LUXEMBOURG  59640 DUNKERQUE   ;0;14/02/2011 00:00
Inicio;INIC;5,18445E+13;Lille Métropole; 1 ALLEE DES ECURIES  59493 VILLENEUVE D ASCQ   ;0;18/06/2018 00:00
Init sys;INSY;4,40239E+13;Saint-Nazaire;LE BOISMAIN ZAC DU VAL SAINT MARTIN RUE JULES FERRY  44210 PORNIC   ;0;05/03/2018 00:00
Inithec group;INGP;8,518E+13;Nanterre; 65 RUE DES TROIS FONTANOT  92000 NANTERRE   ;0;02/03/2020 00:00
INMARSAT LIMITED;IMMA; ;3675885; 99 CITY ROAD  EC1Y 1AX LONDRES   ROYAUME-UNI;0;15/06/2005 00:00
Inmarsat ventures limited;INVE; ;3674573 Angleterre; 99 CITY ROAD  EC1Y 1AX LONDON   ROYAUME-UNI;0;23/06/2014 00:00
Inmarsat ventures SE;IMVE; ;B232365 Registre du commerce et des sociétés du Luxembourg; 5 RUE GOETHE  L1637 LUXEMBOURG   LUXEMBOURG;0;14/01/2020 00:00
Innecto;INNO;7,90427E+13;Versailles; 4 CHEMIN DES QUATRE ARPENTS  78330 FONTENAY-LE-FLEURY   ;1;21/06/2016 00:00
Innotip;INTP;5,31482E+13;LYON; 33 RUE SAINT-NESTOR  69008 LYON   ;0;11/05/2021 00:00
Innovacall;NNVC;5,1206E+13;Bobigny; 8 RUE NUNGESSER  93100 MONTREUIL   ;0;05/05/2020 00:00
Ino telecom;INOT;4,98454E+13;Toulouse;IMMEUBLE LE TRITE - ZA TRIASIS RUE LAVOISIER  31140 LAUNAGUET   ;0;17/09/2018 00:00
INOLIA;INOL;4,91879E+13;Nanterre; 3 RUE DU DOCTEUR GABRIEL PERY  33300 BORDEAUX   ;0;25/09/2006 00:00
Inopla GmbH;INOP; ;HRB 59545 Amtsgericht Düsseldorf; REISHOLZER WERFTSTRASSE 31  40589 DUESSELDORF   ALLEMAGNE;0;28/01/2019 00:00
Inovacom;INOV;8,1281E+13;Bobigny; 11 BIS RUE MEDARD  93360 NEUILLY-PLAISANCE   ;0;16/09/2019 00:00
Inovasyon videyo entewnet;IVET;8,29427E+13;Pointe-à-Pitre;LIEU-DIT DELAIR 313 RUE DES POMMES SURETTES  97180 SAINTE-ANNE   ;0;02/08/2018 00:00
Inquarto online;INON;5,38758E+13;Marseille;CITE DE LA COSMETIQUE 2 RUE ODETTE JASSE  13015 MARSEILLE   ;0;20/10/2016 00:00
Insa-telecom;INSA; ;W763008423 Préfecture Seine-Maritime;APPARTEMENT 211 - BATIMENT D 9 AVENUE DE LA MARE AUX DAIMS  76800 ST ETIENNE DU ROUVRAY   ;0;10/01/2012 00:00
Intarnet;INTA; ;W811006043 - Préfecture du Tarn; 15 RUE LOUIS ICHARD  81000 ALBI   ;0;23/04/2018 00:00
Integraphone;INGR;4,82643E+13;Meaux;IMMEUBLE BUROPARC 31 RUE JEAN MOULIN  77200 TORCY   ;1;01/03/2012 00:00
Integratel;INTG;8,04408E+13;Paris; 84 RUE DE PICPUS  75012 PARIS   ;0;23/01/2015 00:00
INTELEPEER CLOUD Communications LLC;ICCL; ;numéro 5418770, au registre des sociétés de l'Etat du Delaware, Etats-Unis; 3500 SOUTH DUPONT HIGHWAY  19901 DOVER DELAWARE  ETATS-UNIS;0;19/02/2021 00:00
Intelia convergence;INNC;5,19147E+13;Bordeaux;BAT C1 - PARC INNOLIN 15 ALLEE DES ACACIAS  33700 MERIGNAC   ;0;21/11/2017 00:00
Intelligence Knowledge Distribution;KOBA;4,41353E+13;Avignon;ZI COURTINE 170 CHEMIN DE RAMATUEL BP 81078 84000 AVIGNON  CEDEX 9 ;0;21/12/2009 00:00
INTER MUTUELLES ASSISTANCE TECHNOLOGIES;IMAT;3,5326E+13;Nantes; 1 IMPASSE CLAUDE NOUGARO  44800 ST HERBLAIN   ;0;23/08/2010 00:00
Interactiv-group;INUP;4,84773E+13;Perpignan;PARC TECNOSUD 600 RUE FELIX TROMBE  66000 PERPIGNAN   ;1;15/01/2016 00:00
Interactivité vidéo et systèmes;IVES;4,91371E+13;Grenoble; 1080 CHEMIN DE LA CROIX VERTE  38330 MONTBONNOT-SAINT-MARTIN   ;0;10/04/2018 00:00
INTERCLOUD;CLOU;5,29026E+13;de Nanterre; 12 RUE CAMILLE DESMOULINS  92300 LEVALLOIS PERRET   ;0;05/09/2011 00:00
Intercom développement;INTL;4,92193E+13;Metz; 9A RUE DU GRAND PRE  57140 NORROY-LE-VENEUR   ;0;08/10/2012 00:00
Intercom France ;INFR;8,21016E+13;Poitiers;TELEPORT 4 - IMMEUBLE ANTARES TELEPORT 4 BP 70183 86962 CHASSENEUIL FUTUROSCOPE  CEDEX ;0;16/08/2016 00:00
Interdata;IRDA;3,17866E+13;Evry;ZA COURTABOEUF - PARC TECHNOPOLIS 3 AVENUE DU CANADA  91940 LES ULIS   ;0;17/09/2020 00:00
Intermediasud;ITMS;4,14273E+13;Castres; 9 AVENUE DE LA MONTAGNE NOIRE  81100 CASTRES   ;0;30/10/2003 00:00
Internatél;INRL;8,7961E+13;Limoges; 81 AVENUE GENERAL LECLERC  87100 LIMOGES   ;0;13/05/2020 00:00
International Bastide corporation;INBC;4,89849E+13;Marseille; 75 RUE DRAGON  13006 MARSEILLE   ;0;21/11/2017 00:00
International télécommunication network France;ITNF;4,02282E+13;Nanterre;TOUR VENTÔSE 2/6 RUE DES BOURETS  92150 SURESNES   ;0;30/12/2004 00:00
Internet libre et ouvert pour tous dans l'Herault (ILOTH);ILOT; ;W343011615 ASSO Béziers;CHEZ M. G. HERAIL 52 RUE DE SYRACUSE - BAT. A, APPT 132  34000 MONTPELLIER   ;0;07/03/2011 00:00
INTERNET MEMORY RESEARCH;INMR;5,33199E+13;Bobigny; 45 T RUE DE LA REVOLUTION  93100 MONTREUIL   ;0;24/11/2011 00:00
Internet wireless system;IWSY;7,9105E+13;Le Mans; 22 HAMEAU DE LA BECHOTTIERE  72230 MULSANNE   ;0;06/05/2015 00:00
Interop;ITRP;8,78153E+13;Strasbourg; 4 IMPASSE DES CHALETS  67640 FEGERSHEIM   ;0;17/10/2019 00:00
INTER-TOUCH (EAME) LIMITED;R105; ;3882156 Angleterre;11/15 WILLIAM ROAD ACRE HOUSE  NW1 3ER LONDON   ROYAUME-UNI;0;09/12/2004 00:00
INTERWAY;INTW;3,89671E+13;Salon;BATIMENT 3 MINI PARC DE L ANJOLY 6 VOIE D ANGLETERRE  13127 VITROLLES   ;0;26/08/2010 00:00
INTRA CALL CENTER (ICC);ICAL;4,09709E+13;Amiens; 42 RUE RIOLAN  80000 AMIENS   ;1;06/01/2005 00:00
Intracom;INCM;3,53187E+13;Nanterre; 2 RUE LOUIS ARMAND  92600 ASNIERES-SUR-SEINE   ;0;24/10/2017 00:00
Intrado solutions Limited;ICSL; ;2775270;UNIT 1&2, SAWMILLS END, BARNWOOD   GL4 3DL GLOUCESTER   ROYAUME-UNI;0;26/05/2014 00:00
INTRINSEC;INTR;4,02336E+13;NANTERRE;IMMEUBLE LE CLEMENCEAU 215 AVENUE GEORGES CLEMENCEAU  92000 NANTERRE   ;0;08/08/2013 00:00
Intuidis;INTU;5,11847E+13;Nantes; 2 RUE JULES VERNE  44400 REZE   ;0;27/06/2014 00:00
Investissement dans la fibre des territoires;IFTR;8,52619E+13;Paris; 31 RUE DE LA BAUME  75008 PARIS   ;0;12/09/2019 00:00
IOT telecom;IOTT;8,24608E+13;Nanterre; 88 TER AVENUE DU GENERAL LECLERC  92100 BOULOGNE-BILLANCOURT   ;0;14/02/2019 00:00
Iovox Ltd;IOVO; ;6057954; 4-6 CANFIELD PLACE  NW6 3BT LONDON   ROYAUME-UNI;1;06/09/2012 00:00
IP ACS;IPAC;4,43583E+13;PARIS; 21 RUE DE FÉCAMP  75012 PARIS   ;0;18/10/2012 00:00
Ip and com;IPAM;5,22374E+13;Caen; 33 RUE DU POT D ETAIN  14000 CAEN   ;0;28/01/2019 00:00
IP Cash;IPCA;8,21944E+13;Nanterre; 92/98 BOULEVARD VICTOR HUGO  92110 CLICHY   ;0;02/09/2016 00:00
IP développement;IPDE;8,39663E+13;Nantes; 4 RUE DES ROSIERS  44450 SAINT-JULIEN-DE-CONCELLES   ;0;21/11/2018 00:00
IP Directions;IPDI;4,90819E+13;Paris; 32 RUE DE MOGADOR  75009 PARIS   ;1;26/09/2006 00:00
IP ENERGY;IPEN;4,89722E+13;Aix;6 PARC DE BOMPERTUIS AVENUE D ARMENIE  13120 GARDANNE   ;0;29/07/2011 00:00
IP focus;IPFO;4,83434E+13;Créteil; 15-19 RUE LEON GEFFROY  94400 VITRY-SUR-SEINE   ;0;09/10/2018 00:00
IP maintenance;IPMA;8,2769E+13;Créteil; 29-31 RUE DU BOIS GALON  94120 FONTENAY-SOUS-BOIS   ;0;18/06/2018 00:00
IP Net Services Provider;INSP;792575961;Paris; 201 RUE SAINT HONORE  75001 PARIS   ;0;05/05/2020 00:00
IP networks;IPNE;4,94803E+13;Versailles; 15B CHEMIN DU BOIS LAMBERT  78770 GOUPILLIERES   ;0;13/02/2018 00:00
IP Next;IPNX;4,95059E+13;Dijon; 13 RUE VAUBAN  21000 DIJON   ;0;26/05/2020 00:00
IP Ocean;IPOC;8,91753E+13;La Roche-sur-Yon; 3 IMPASSE DE MANDERLEY  85160 SAINT JEAN DE MONTS   ;0;25/05/2021 00:00
IP River Limited;IPRI; ;7729747 au Registar of Companies for England/Wales;UNIT 7 COOPER WAY - PARKHOUSE   CA3 0JG CARLISLE   ROYAUME-UNI;0;10/02/2020 00:00
IP solution;IPSO;8,11988E+13;Douai; 72 RUE ALEXANDRE DUMAS  59950 AUBY   ;0;26/04/2016 00:00
IP TELECOM;IPTE;4,40062E+13; ; 9 RUE JACQUARD  25000 BESANCON   ;0;18/10/2006 00:00
IP telecom Bulgaria Ltd;IPTB; ;201274344 à l'Agence d'enregistrement de Bulgarie;APP 2 2 RUE VASIL APRILOV  8000 BURGAS   BULGARIE;1;01/10/2020 00:00
IP3G;IP3G;4,90792E+13;La Roche-sur-Yon; IMPASSE JEAN MOUILLADE  85000 LA ROCHE SUR YON   ;0;19/08/2021 00:00
IP-BELS;BELS;8,98265E+13;Angers; 12 AVENUE JEAN JOXE  49100 ANGERS   ;0;20/04/2021 00:00
IPBex;IPBE;8,5022E+13;Paris; 49 RUE DE PONTHIEU  75008 PARIS   ;0;13/08/2020 00:00
IPC Information Systems France;IPCI;4,78737E+13;Paris; 2 RUE DE LA PAIX  75002 PARIS   ;0;13/01/2011 00:00
IPC Network services Ltd;IPCN; ;2539234 Londres;TOWER HOUSE 67-73 WORSHIP STREET  EC2A 2DZ LONDON   ROYAUME-UNI;0;02/08/2005 00:00
IPCONNECT;IPCT;7,52992E+13;MONTPELLIER;HOTEL D'ENTREPRISE DU MILLENAIRE 120 ALLEE JOHN NAPIER  34000 MONTPELLIER   ;0;04/10/2012 00:00
IPcopter GmbH & Co. KG;IPCO; ;Amtsgericht ULM HRA 36 1230; ZIEGELEI 5  D-88090 IMMENSTAAD   ALLEMAGNE;0;16/07/2007 00:00
Ipdenta;IPTA;8,85052E+13;Bobigny; 30 RUE D ALSACE  93600 AULNAY-SOUS-BOIS   ;0;25/08/2020 00:00
Ipefix;HTCG;4,99715E+13;PARIS; 4 RUE SEVERO  75014 PARIS   ;1;29/10/2007 00:00
Iper Telecom;ITEL;5,1392E+13;Fort de France; 6 RUE DES CYCLADES  97200 FORT DE FRANCE   ;0;11/08/2009 00:00
Iperion;IPON;4,88374E+13;Montpellier;PLACE DE LA MEDITERRANEE ZA LA PEYRIERE  34430 SAINT JEAN DE VEDAS   ;0;21/04/2016 00:00
Iperlink;IPNK;4,91282E+13;Lyon; 5 ROUTE DU PAISY  69570 DARDILLY   ;0;23/05/2017 00:00
IPEVA;IPEV;4,83234E+13;Pontoise; 3 RUE FORT DE LA BRICHE  93200 SAINT DENIS   ;0;19/03/2010 00:00
IPEXIA;IPEX;4,94882E+13;Lyon; 64 AVENUE LECLERC  69007 LYON   ;0;10/06/2009 00:00
